gene_id	ec
g101193.t1	1.1.1.100
g101200.t1	3.4.22.68
g101212.t1	1.2.1.12
g101215.t1	2.3.1.133
g101217.t1	2.7.4.6
g101230.t1	3.1.3.16
g101232.t1	1.1.1.1;1.1.1.284
g101247.t1	2.1.1.309
g101253.t1	4.2.1.1
g101258.t1	2.3.1.50
g101265.t1	2.7.1.28;2.7.1.29;4.6.1.15
g101266.t1	3.1.3.36
g101276.t1	3.1.3.2
g101284.t1	5.3.1.6
g101289.t1	2.3.2.23
g101290.t1	1.2.4.1
g101292.t1	2.3.1.225
g101304.t1	1.1.1.146
g101310.t1	2.7.1.134;2.7.1.159
g101318.t1	2.3.2.27
g101327.t1	2.3.3.13;2.3.3.17
g101328.t1	2.7.11.1
g10133.t1	2.5.1.112;2.5.1.27
g101334.t1	2.7.7.7
g101346.t1	2.7.11.1
g101347.t1	3.5.1.3
g101349.t1	2.3.3.13;2.3.3.17
g101358.t1	3.6.3.44
g101385.t1	2.7.1.4
g101387.t1	2.7.1.4
g101390.t1	1.3.1.91
g101392.t1	1.3.1.91
g101397.t1	2.6.1.83
g101401.t1	2.7.7.69
g101402.t1	6.1.1.6
g101403.t1	2.3.2.31
g101404.t1	2.7.11.1
g101407.t1	4.2.1.93
g101408.t1	2.5.1.58;2.5.1.59
g101409.t1	4.2.99.18
g101415.t1	2.8.1.6
g101427.t1	1.3.8.4
g101428.t1	1.14.14.19;1.14.14.32
g101435.t1	2.8.1.12
g101437.t1	2.7.11.22;2.7.11.23
g101450.t1	3.2.1.21
g101451.t1	3.2.1.21
g101452.t1	3.2.1.21
g101459.t1	3.4.19.12
g101464.t1	2.3.2.27
g101467.t1	2.3.2.27
g101472.t1	3.4.19.12
g101479.t1	3.4.23.25;3.4.23.5
g101486.t1	1.3.1.21
g101497.t1	1.14.14.1;1.14.14.19;1.14.14.32
g101498.t1	1.14.14.1;1.14.14.19;1.14.14.32
g1015.t1	2.7.11.1
g101502.t1	3.4.19.12
g101505.t1	5.3.99.8;5.3.99.9
g101522.t1	2.4.99.4
g101526.t1	1.2.1.84
g101527.t1	3.1.26.5
g101530.t1	2.4.1.215;2.4.2.40
g101536.t1	1.14.14.49
g101543.t1	3.1.3.63
g101544.t1	4.2.1.51;4.2.1.91
g101546.t1	2.7.1.107
g101549.t1	2.4.1.32
g101553.t1	2.3.1.158
g101555.t1	2.7.11.1
g101556.t1	2.3.1.133
g101562.t1	2.3.2.27
g101585.t1	2.7.1.108
g101591.t1	2.7.4.3;4.2.1.55
g101599.t1	4.2.1.1
g101600.t1	3.6.1.22
g101602.t1	2.7.11.1
g101613.t1	5.3.4.1
g101616.t1	3.1.27.9
g101621.t1	2.7.4.3
g101624.t1	6.3.5.5
g101625.t1	3.1.27.9
g101637.t1	3.6.3.44
g101644.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g101661.t1	1.6.3.1
g101662.t1	1.6.3.1
g101685.t1	2.7.11.1
g101707.t1	3.2.1.78
g101721.t1	2.7.11.1
g101722.t1	2.3.2.27
g101734.t1	3.4.22.68
g101738.t1	2.7.7.6
g101741.t1	2.7.7.6
g101751.t1	1.10.3.2
g101758.t1	3.1.3.16
g101761.t1	2.7.7.6
g101762.t1	3.1.3.16
g101775.t1	3.1.3.3
g101776.t1	3.1.3.3
g101779.t1	1.14.14.1;2.4.1.202
g101785.t1	2.7.11.1
g101788.t1	1.11.1.7
g101790.t1	4.2.1.11
g101802.t1	1.10.3.2
g101806.t1	3.2.1.21
g101807.t1	3.4.19.12
g101816.t1	1.6.5.2
g101827.t1	2.7.1.64
g101829.t1	5.2.1.8
g101831.t1	4.3.3.6
g101832.t1	3.1.4.11
g101838.t1	3.1.3.16
g101840.t1	3.6.4.13
g101841.t1	3.6.4.13
g101842.t1	3.6.4.13
g101844.t1	4.1.1.1
g101846.t1	2.7.1.105;3.1.3.46
g101859.t1	1.10.3.2
g101861.t1	3.2.1.21
g101864.t1	2.4.1.324
g101865.t1	2.4.1.324
g101892.t1	2.7.11.1;2.7.11.11
g101896.t1	2.7.11.1
g101898.t1	2.4.1.132;2.4.1.257
g101903.t1	1.14.13.11
g101904.t1	1.14.13.11
g101935.t1	2.3.2.23
g101940.t1	3.1.3.16
g101959.t1	3.1.27.1
g101967.t1	5.3.3.5
g101969.t1	3.1.13.4
g101991.t1	3.6.1.12
g101993.t1	2.3.2.27
g101997.t1	5.2.1.8
g101999.t1	2.7.11.22
g102.t1	1.1.1.42
g102001.t1	3.5.4.16
g102004.t1	1.14.14.19;1.14.14.32
g102005.t1	1.14.14.19;1.14.14.32
g102009.t1	3.6.4.12;3.6.4.13
g102010.t1	2.4.1.43
g102013.t1	2.7.7.53
g102016.t1	3.1.2.14
g102018.t1	2.4.1.207
g102032.t1	1.1.1.206
g102033.t1	1.1.1.206
g102034.t1	2.7.11.1
g102037.t1	3.1.26.5
g102041.t1	4.2.2.2
g102042.t1	2.2.1.6
g102043.t1	2.2.1.6
g102054.t1	1.14.13.168
g102060.t1	1.8.5.7
g102062.t1	6.2.1.4;6.2.1.5
g102065.t1	2.7.11.1
g102090.t1	2.3.2.27
g102100.t1	2.3.1.199
g102101.t1	3.1.3.16
g102106.t1	2.7.11.1
g102118.t1	5.5.1.13;5.5.1.14
g102126.t1	2.5.1.112;2.5.1.27
g102128.t1	1.11.1.9
g102133.t1	2.3.2.27
g102144.t1	1.1.1.25;4.2.1.10
g102154.t1	2.3.2.27
g102160.t1	2.3.2.27
g102168.t1	2.3.1.78
g102170.t1	2.3.1.78
g102173.t1	3.1.1.11
g102185.t1	3.6.4.12
g102190.t1	3.6.4.13
g102198.t1	3.6.3.6
g102199.t1	3.6.3.6
g102202.t1	3.2.1.14
g102203.t1	3.2.1.14
g102204.t1	3.2.1.14
g102207.t1	3.2.1.14
g102209.t1	3.2.1.14
g102210.t1	3.2.1.14
g102211.t1	3.2.1.14
g102212.t1	3.2.1.14
g102216.t1	3.2.1.14
g102219.t1	3.2.1.14
g102220.t1	3.2.1.14
g102224.t1	3.4.16.2
g102246.t1	2.4.1.43
g102249.t1	1.2.1.9
g102254.t1	2.7.11.11
g102255.t1	3.1.3.16
g102260.t1	1.14.19.23;1.14.19.45
g102262.t1	3.4.19.12
g102269.t1	2.3.1.51
g102292.t1	3.5.1.49
g102294.t1	2.3.1.133
g102310.t1	2.4.1.12
g102313.t1	2.7.11.1
g102314.t1	2.7.11.1
g102315.t1	2.7.11.1
g102317.t1	2.7.11.1
g102321.t1	3.6.4.13
g102322.t1	2.7.11.1
g102330.t1	2.7.7.6
g102338.t1	2.7.11.1
g102346.t1	2.1.1.43
g102348.t1	2.1.1.43
g102350.t1	2.1.1.43
g102351.t1	1.1.1.271
g102352.t1	3.4.19.16
g102357.t1	1.14.14.1
g102359.t1	1.14.14.1
g102361.t1	3.6.4.7
g102366.t1	5.1.3.6
g102374.t1	4.1.99.5
g102378.t1	2.3.2.27
g102379.t1	2.3.2.27
g102391.t1	2.3.2.27
g102394.t1	3.4.23.25
g102395.t1	3.4.23.25
g102396.t1	3.4.23.25
g102397.t1	3.4.23.25
g102398.t1	3.4.23.25
g102399.t1	3.4.23.25
g102402.t1	3.4.23.25
g102403.t1	3.4.23.25
g102411.t1	3.4.23.25
g102412.t1	3.4.23.25
g102413.t1	3.4.23.25
g102417.t1	3.4.23.25
g102428.t1	2.4.1.15;3.1.3.12
g102431.t1	4.3.2.2
g102441.t1	2.7.1.107
g102443.t1	2.7.11.1
g102448.t1	5.3.1.5
g102449.t1	2.3.1.133
g102452.t1	2.3.1.133
g102460.t1	2.4.1.115;2.4.1.17;2.4.1.234;2.4.1.47
g102468.t1	2.7.11.1
g102470.t1	2.3.1.12
g102471.t1	2.4.1.215
g102472.t1	2.6.1.62;6.3.3.3
g102477.t1	2.4.1.207
g102478.t1	2.4.1.207
g102479.t1	2.4.1.207
g102490.t1	2.7.11.1
g1025.t1	2.3.2.27
g102500.t1	3.5.1.3
g102528.t1	5.2.1.8
g102535.t1	2.7.11.25
g102539.t1	2.3.2.27
g102541.t1	3.1.3.16
g102547.t1	1.14.13.8
g102560.t1	2.3.1.225
g102561.t1	2.3.2.27
g102576.t1	3.2.1.166
g102579.t1	1.3.1.78
g102580.t1	3.6.1.1
g102582.t1	2.4.1.46
g102585.t1	3.4.19.12
g102602.t1	1.14.14.1
g102606.t1	3.6.3.44
g102630.t1	3.4.23.25;3.4.23.5
g102631.t1	2.7.11.1
g102632.t1	2.4.1.14
g102671.t1	1.3.1.42
g102675.t1	2.4.1.82
g102677.t1	3.5.1.4
g102680.t1	2.4.1.82
g102687.t1	2.7.11.1
g102688.t1	3.6.4.12
g102695.t1	2.4.1.144
g102697.t1	2.3.2.27
g102732.t1	2.4.1.218;2.4.1.271;2.4.1.324
g102742.t1	1.14.15.7
g102743.t1	3.6.3.8
g102750.t1	1.6.5.3
g102753.t1	6.2.1.12
g102756.t1	2.3.1.133
g102763.t1	3.6.4.12
g102768.t1	3.6.4.12
g102785.t1	2.1.1.43
g102786.t1	5.3.2.1
g102799.t1	2.1.1.43
g1028.t1	2.1.1.43
g10280.t1	1.1.1.348
g102801.t1	2.1.1.43
g102805.t1	2.1.1.43
g10281.t1	1.1.1.348
g102811.t1	2.1.1.43
g102813.t1	4.1.1.37
g102817.t1	2.1.1.43
g102819.t1	2.1.1.43
g102825.t1	2.1.1.43
g102829.t1	2.1.1.43
g102836.t1	2.5.1.112;2.5.1.27
g102840.t1	2.1.1.43
g102850.t1	2.1.1.43
g102856.t1	2.1.1.43
g102858.t1	6.1.1.1
g102867.t1	2.1.1.43
g102868.t1	2.1.1.43
g102876.t1	3.4.23.25
g102888.t1	3.6.4.13
g102889.t1	2.7.11.1
g102896.t1	1.14.11.13
g102901.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g102910.t1	1.14.14.1
g102914.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g102920.t1	2.7.11.22;2.7.11.23
g102921.t1	2.7.11.22;2.7.11.23
g102927.t1	3.6.4.12
g102935.t1	2.7.11.22;2.7.11.23
g102936.t1	3.4.22.68
g102943.t1	5.2.1.8
g102946.t1	2.7.11.22;2.7.11.23
g102947.t1	2.7.11.22;2.7.11.23
g102951.t1	3.5.1.108
g102954.t1	3.5.1.108
g102971.t1	6.1.1.10
g103006.t1	3.6.3.3;3.6.3.5
g103008.t1	1.2.1.12
g103068.t1	2.7.11.1
g103092.t1	2.7.11.1
g103094.t1	2.7.11.1
g103096.t1	1.14.14.1
g103099.t1	3.6.3.44
g103102.t1	3.6.3.44
g103104.t1	1.14.14.1
g103117.t1	2.4.1.207
g103144.t1	2.7.7.14
g103149.t1	2.7.11.1
g103160.t1	3.6.4.12
g103161.t1	3.6.4.12
g103169.t1	3.6.4.12
g103181.t1	3.2.1.68
g103183.t1	3.2.1.68
g103190.t1	2.7.1.44
g103192.t1	2.7.1.44
g1032.t1	3.1.26.5
g103205.t1	2.7.1.44
g103212.t1	2.4.1.330
g103215.t1	2.7.11.1
g103216.t1	1.14.13.53;1.14.13.89
g103247.t1	3.1.1.4
g103275.t1	3.5.1.88
g103276.t1	3.2.1.15;3.2.1.67
g103292.t1	2.1.1.112
g1033.t1	6.3.4.3
g103302.t1	3.6.4.12
g103303.t1	2.3.1.133
g103313.t1	5.2.1.8
g103317.t1	2.7.11.1
g103343.t1	2.5.1.112;2.5.1.27
g103358.t1	2.3.2.27
g103364.t1	2.7.1.46
g103367.t1	3.1.27.1
g103369.t1	2.7.1.46
g103378.t1	3.4.25.1
g1034.t1	1.11.1.7
g10340.t1	1.14.13.201
g103406.t1	2.7.11.1
g103432.t1	2.7.11.1
g103440.t1	2.5.1.112;2.5.1.27
g10346.t1	2.2.1.1
g10347.t1	1.14.13.201
g103476.t1	2.7.1.150
g103478.t1	2.7.1.150
g103481.t1	2.7.1.150
g103482.t1	2.7.1.150
g103496.t1	3.1.1.11
g1035.t1	1.11.1.7
g103520.t1	3.1.1.11
g103540.t1	1.5.1.10;1.5.1.8;1.5.1.9
g103597.t1	1.5.1.10;1.5.1.8;1.5.1.9
g103598.t1	1.5.1.10;1.5.1.8;1.5.1.9
g1036.t1	1.11.1.7
g103603.t1	2.4.1.115;2.4.1.17;2.4.1.47
g103618.t1	3.2.1.39
g103633.t1	2.5.1.115;2.5.1.116
g103638.t1	2.5.1.115;2.5.1.116
g103641.t1	2.5.1.115;2.5.1.116
g103648.t1	3.6.3.6
g103650.t1	6.2.1.1
g103664.t1	1.11.1.7
g103665.t1	5.1.3.15
g103667.t1	5.1.3.15
g10367.t1	1.14.13.201
g103683.t1	4.1.1.39
g103685.t1	2.7.6.2
g103699.t1	1.18.1.2
g103700.t1	6.5.1.1
g103704.t1	6.5.1.1
g103705.t1	6.5.1.1
g103707.t1	6.5.1.1
g103712.t1	6.5.1.1
g103805.t1	3.6.3.44
g103806.t1	3.6.3.44
g103808.t1	2.7.11.1
g103838.t1	2.7.11.1
g103840.t1	2.7.11.1
g103842.t1	3.6.4.12
g103855.t1	2.3.1.199
g1039.t1	3.6.4.13
g103906.t1	2.7.7.6;3.4.11.1
g103927.t1	2.5.1.112;2.5.1.27
g103978.t1	3.1.1.98
g103986.t1	5.2.1.8
g104028.t1	1.6.5.3;1.6.99.3
g104029.t1	1.6.5.3
g104053.t1	2.4.1.218;2.4.1.271;2.4.1.324
g104055.t1	1.6.2.4
g104066.t1	2.4.1.215
g104084.t1	3.6.3.44
g104090.t1	3.1.3.96
g104091.t1	3.1.3.96
g10414.t1	3.1.1.11
g104177.t1	3.6.4.12
g104179.t1	2.7.11.1
g104192.t1	1.14.14.1
g104236.t1	1.1.1.348
g1044.t1	2.4.1.34
g10443.t1	2.1.1.310
g104446.t1	1.2.3.15
g104543.t1	3.6.4.12
g104614.t1	3.6.4.12
g10468.t1	3.4.19.12
g104680.t1	2.7.7.6;3.4.11.1
g10473.t1	5.2.1.8
g104757.t1	3.6.4.12
g104767.t1	1.11.1.15
g104829.t1	3.4.19.12
g104871.t1	2.3.1.50
g104886.t1	1.1.1.348
g1049.t1	1.14.18.4;1.14.19.22;1.14.19.33;1.14.19.34;1.14.19.6
g104906.t1	1.1.1.211;1.1.1.35;4.2.1.17
g104907.t1	1.1.1.211;1.1.1.35;4.2.1.17
g104912.t1	3.1.26.5
g104932.t1	2.6.1.1
g104957.t1	2.7.7.7
g104961.t1	1.14.13.168
g1050.t1	3.6.3.44
g105029.t1	3.6.4.12
g105034.t1	3.6.4.13
g105042.t1	3.6.3.6
g105043.t1	3.6.3.6
g105046.t1	3.2.1.14
g105047.t1	3.2.1.14
g105048.t1	3.2.1.14
g105051.t1	3.2.1.14
g105053.t1	3.2.1.14
g105054.t1	3.2.1.14
g105055.t1	3.2.1.14
g105056.t1	3.2.1.14
g105060.t1	3.2.1.14
g105063.t1	3.2.1.14
g105064.t1	3.2.1.14
g105068.t1	3.4.16.2
g105092.t1	2.4.1.43
g105095.t1	1.2.1.9
g105100.t1	2.7.11.11
g105101.t1	3.1.3.16
g105106.t1	1.14.19.23;1.14.19.45
g105108.t1	3.4.19.12
g105134.t1	3.5.1.49
g105136.t1	2.3.1.133
g105140.t1	3.6.4.12
g105153.t1	2.4.1.12
g105156.t1	2.7.11.1
g105157.t1	2.7.11.1
g105158.t1	2.7.11.1
g105160.t1	2.7.11.1
g105164.t1	3.6.4.13
g105165.t1	2.7.11.1
g105173.t1	2.7.7.6
g105181.t1	2.7.11.1
g105189.t1	2.1.1.43
g105190.t1	2.1.1.43
g105192.t1	2.1.1.43
g105193.t1	1.1.1.271
g105194.t1	3.4.19.16
g105199.t1	1.14.14.1
g1052.t1	1.3.1.10;1.3.1.9
g105201.t1	3.6.4.7
g105207.t1	5.1.3.6
g105215.t1	4.1.99.5
g105219.t1	2.3.2.27
g105220.t1	2.3.2.27
g105230.t1	2.3.2.27
g105232.t1	3.4.23.25
g105233.t1	3.4.23.25
g105235.t1	3.4.23.25
g105236.t1	3.4.23.25
g105237.t1	3.4.23.25
g105238.t1	3.4.23.25
g105239.t1	3.4.23.25
g105240.t1	3.4.23.25
g105244.t1	3.4.23.25
g105247.t1	2.4.1.15;3.1.3.12
g105250.t1	4.3.2.2
g105269.t1	2.7.1.107
g105274.t1	2.7.11.1
g105280.t1	5.3.1.5
g105281.t1	2.3.1.133
g105283.t1	2.3.1.133
g105284.t1	2.3.1.133
g105289.t1	2.4.1.115;2.4.1.17;2.4.1.234;2.4.1.47
g105297.t1	2.7.11.1
g105299.t1	2.3.1.12
g105300.t1	2.4.1.215
g105301.t1	2.6.1.62;6.3.3.3
g105303.t1	2.6.1.62;6.3.3.3
g105307.t1	2.4.1.207
g105308.t1	2.4.1.207
g105316.t1	2.7.11.1
g105326.t1	3.5.1.3
g105349.t1	5.2.1.8
g105352.t1	5.2.1.8
g105356.t1	2.7.11.25
g105361.t1	2.3.2.27
g105363.t1	3.1.3.16
g105370.t1	1.14.13.8
g105383.t1	2.3.1.225
g105384.t1	2.3.2.27
g105398.t1	3.2.1.166
g105401.t1	1.3.1.78
g105402.t1	3.6.1.1
g105405.t1	2.4.1.46
g105408.t1	3.4.19.12
g105424.t1	3.6.3.44
g105428.t1	3.4.23.25;3.4.23.5
g105429.t1	2.5.1.112;2.5.1.27
g105432.t1	2.7.11.1
g105433.t1	2.4.1.14
g105473.t1	1.3.1.42
g105477.t1	2.4.1.82
g105479.t1	3.5.1.4
g105482.t1	2.4.1.82
g105495.t1	2.4.1.144
g105497.t1	2.3.2.27
g105532.t1	2.4.1.218;2.4.1.271;2.4.1.324
g105541.t1	1.14.15.7
g105542.t1	3.6.3.8
g105550.t1	1.6.5.3
g105553.t1	6.2.1.12
g105556.t1	2.3.1.133
g105563.t1	3.6.4.12
g105568.t1	3.6.4.12
g105583.t1	2.1.1.43
g105584.t1	5.3.2.1
g105597.t1	2.1.1.43
g105599.t1	2.1.1.43
g105603.t1	2.1.1.43
g105609.t1	2.1.1.43
g105611.t1	4.1.1.37
g105615.t1	2.1.1.43
g105617.t1	2.1.1.43
g105623.t1	2.1.1.43
g105627.t1	2.1.1.43
g105634.t1	2.5.1.112;2.5.1.27
g105638.t1	2.1.1.43
g105648.t1	2.1.1.43
g105654.t1	2.1.1.43
g105656.t1	6.1.1.1
g105665.t1	2.1.1.43
g105666.t1	2.1.1.43
g105674.t1	3.4.23.25
g105686.t1	3.6.4.13
g105687.t1	2.7.11.1
g105694.t1	1.14.11.13
g105699.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g105708.t1	1.14.14.1
g105712.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g105718.t1	2.7.11.22;2.7.11.23
g105719.t1	2.7.11.22;2.7.11.23
g10572.t1	2.7.11.1
g105725.t1	3.6.4.12
g105733.t1	2.7.11.22;2.7.11.23
g105734.t1	3.4.22.68
g105741.t1	5.2.1.8
g105744.t1	2.7.11.22;2.7.11.23
g105745.t1	2.7.11.22;2.7.11.23
g105749.t1	3.5.1.108
g105752.t1	3.5.1.108
g105769.t1	6.1.1.10
g105800.t1	3.6.3.3;3.6.3.5
g105805.t1	1.2.1.12
g105841.t1	2.7.11.1
g105853.t1	3.6.3.44
g105859.t1	2.4.1.207
g105880.t1	2.7.7.14
g105882.t1	1.14.14.1
g105884.t1	2.7.11.1
g105913.t1	3.2.1.78
g105925.t1	3.2.1.68
g105926.t1	2.1.1.43
g105931.t1	2.7.1.44
g105933.t1	2.7.1.44
g105934.t1	2.7.1.44
g105948.t1	2.4.1.330
g105954.t1	1.14.13.53;1.14.13.89
g105983.t1	3.1.1.4
g106008.t1	3.5.1.88
g106009.t1	3.2.1.15;3.2.1.67
g106020.t1	2.1.1.112
g106035.t1	2.7.11.1
g106036.t1	2.7.11.1
g106037.t1	2.3.1.133
g106042.t1	2.7.11.1
g106043.t1	2.7.11.1
g106052.t1	3.6.4.12
g106061.t1	3.6.3.44
g106062.t1	1.14.14.1
g106078.t1	1.14.14.19;1.14.14.32
g106096.t1	2.3.2.27
g106103.t1	2.7.1.46
g106106.t1	2.7.1.46
g106116.t1	3.4.25.1
g106144.t1	2.7.11.1
g106159.t1	2.1.1.43
g10620.t1	1.1.1.100;1.2.4.4
g106210.t1	2.7.1.150
g106212.t1	2.7.1.150
g106215.t1	2.7.1.150
g106216.t1	2.7.1.150
g10622.t1	3.5.1.3
g106223.t1	2.7.4.24
g106230.t1	3.1.1.11
g106255.t1	3.1.1.11
g106257.t1	2.7.11.1
g106271.t1	1.5.1.10;1.5.1.8;1.5.1.9
g106335.t1	1.5.1.10;1.5.1.8;1.5.1.9
g106351.t1	3.2.1.39
g106366.t1	2.5.1.115;2.5.1.116
g106371.t1	2.5.1.115;2.5.1.116
g106374.t1	2.5.1.115;2.5.1.116
g106381.t1	3.6.3.6
g106383.t1	6.2.1.1
g106397.t1	1.11.1.7
g106398.t1	5.1.3.15
g106401.t1	5.1.3.15
g106411.t1	3.2.1.4
g106415.t1	4.1.1.39
g106430.t1	1.18.1.2
g106431.t1	6.5.1.1
g106435.t1	6.5.1.1
g106436.t1	6.5.1.1
g106439.t1	6.5.1.1
g106521.t1	3.6.3.44
g106523.t1	3.6.3.44
g106524.t1	2.7.11.1
g106542.t1	2.7.11.1
g106544.t1	2.7.11.1
g106562.t1	2.3.1.199
g106632.t1	1.6.5.3
g106635.t1	2.7.7.6;3.4.11.1
g106649.t1	2.5.1.112;2.5.1.27
g106750.t1	1.6.2.4
g106795.t1	3.1.3.96
g106834.t1	2.3.3.13;2.3.3.17
g106894.t1	3.6.4.12
g1069.t1	1.13.11.12
g107004.t1	5.2.1.8
g107026.t1	1.2.3.15
g107058.t1	3.6.4.12
g107088.t1	3.6.4.12
